report_id,text,site,shift,contractor_flag,hazard_type_hint
1,"On the day shift at Rig 4, a company employee was operating the hydraulic winch when the guard rail on the boom collapsed. The employee was only a few feet away from the moving arm, but the guard held it in place until a last‑minute manual check restored the barrier. The incident was a close call that could have resulted in serious injury if the guard had not been re‑installed.",Rig 4,Day,False,equipment_machinery_hazard
2,"Night shift in Pipeline Yard D: a company employee started to climb the manhole ladder to enter a storage tank for a routine inspection, but the ladder was slanted and slipped on the wet concrete. He grabbed the ladder rung to steady himself and almost fell into the tank. The tank cover was not in place, so the employee had to quickly exit and call for a safety barrier to be erected before any real damage could happen.",Pipeline Yard D,Night,False,confined_space_entry
3,"On the night shift at Rig 4, a contractor was walking across the open trench area without his hard hat and safety vest. He was wearing a loose jacket and had his safety goggles on, but his head and torso were not protected. I stopped him and explained that the trench was a fall hazard and he needed full PPE before proceeding.",Rig 4,Night,True,ppe_noncompliance
4,"During the night shift at Terminal C, a contractor was walking toward the storage dock when his shoe slipped on a slick patch of oil that had spilled from a damaged pipe. He almost slipped and nearly twisted his ankle, but the ground was still firm enough that he managed to regain balance without falling. The spill was immediately cleaned up and a warning sign was placed in the area.",Terminal C,Night,True,slip_trip_hazard
5,"During the night shift at Storage Site E, a company employee was walking along the loading dock when a forklift driver, distracted by a radio, failed to notice the pedestrian and nearly collided. The operator had to brake hard and the employee was only slightly shaken, but a safety barrier that should have been installed along the aisle was missing, which allowed the vehicle to enter the pedestrian zone. Thankfully, no one was seriously hurt, but the incident highlighted a clear gap in the site’s traffic control.",Storage Site E,Night,False,vehicle_pedestrian_interaction
6,"On the night shift at Rig 4, a company employee was walking down the access corridor without wearing a hard hat. The employee slipped on a loose pipe and nearly fell onto the hot piping, but the fall was stopped by a nearby safety barrier. The incident highlighted that the worker was not wearing the required PPE and the lack of a hard hat increased the risk of head injury.",Rig 4,Night,False,ppe_noncompliance
7,"At Rig 4 during the day shift, a company employee entered the sump pit to replace a sensor. He forgot to secure the ladder with a fall‑protection line and slipped on a wet edge, nearly falling into the pit. Thankfully, the floor’s metal guardrail held him back, but the incident shows a clear lapse in the confined space entry procedure.",Rig 4,Day,False,confined_space_entry
8,"Night shift in Pipeline Yard D, a contractor was inspecting a new pipe joint when he noticed a faint odor of gas. He stopped work, checked the pressure gauge and found the pressure slightly high but no visible leak; he called the supervisor and had the area isolated with a temporary fire extinguisher. The contractor kept a safe distance while the leak source was identified and sealed, preventing any fire.",Pipeline Yard D,Night,True,fire_or_gas_leak_near_miss
9,"During the day shift at Terminal C, a contractor was walking across the storage area when a pile of pallets had been left in front of the loading dock. He slipped on the wet surface and nearly fell onto the forklift tracks. The contractor was able to recover before any collision, but the incident showed the spill containment strip had been removed for maintenance and not replaced.",Terminal C,Day,True,slip_trip_hazard
10,"During the day shift at Pipeline Yard D, a contractor was working on the support tower when a temporary guardrail that had been removed for a quick inspection slipped and collapsed. The contractor fell about four feet onto the metal rail below, breaking his wrist but managing to grab the rail to stop a larger injury. The fall was a near miss that highlighted the need to secure the guardrail before lifting the tools.",Pipeline Yard D,Day,True,fall_from_height
