report_id,text,hazard_assessment,lsr_rule,control_status,severity,notes,rubric_version,annotator
8,"At Loading Bay G during the day shift, a company employee was unloading a tank when a gas vent opened slightly. The employee smelled a strong odor and saw a faint puff of flame, but the fire extinguisher was still within reach, so they quickly sprayed it and the flame died out. The gas detector alarm went off and the area was evacuated; no one was hurt, but the fire barrier around the vent was found to be missing and will be replaced.",,,,,,2.2,sukanya
147,"At Loading Bay G on the day shift, a company employee was walking toward the loading dock when a forklift driver didn’t see him and the forklift brushed the worker’s shoulder, sending him stumbling back into a stack of pallets. The employee was shaken, bruised, but not seriously injured. The incident was called out as a near‑miss, and the driver was reminded to keep an eye on the pedestrian zone.",,,,,,2.2,sukanya
1,"At Terminal C, during the night shift, a company employee was walking through the loading bay without wearing the required safety harness. The worker was near a high‑tension cable that had been temporarily lowered, so he nearly touched it and lost his balance. Fortunately, the fall was arrested by the guard rail, but it was a clear reminder that not wearing PPE can lead to serious injury.",,,,,,2.2,sukanya
95,"During the day shift at Refinery B, a company employee was working on the flare stack when a sudden gas leak was detected near the piping. The employee noticed a faint odor of methane and immediately shut the valve, but the leak had already produced a small, unburned puff of flame that flashed briefly before going out. No one was injured, but the incident highlighted that the gas detection alarm in that area had been offline for a week, so we flagged it for immediate maintenance.",,,,,,2.2,sukanya
90,"During the day shift at Refinery B, a company employee was working on the roof of the distillation column when the handrail that was supposed to support them gave way. The worker lost balance and fell about three feet onto the concrete floor, scraping his elbow and bruising his wrist. Luckily, the fall didn't hit any heavy equipment, and he was able to get up and report the broken rail, but the incident shows the handrail was either poorly maintained or not replaced after last inspection.",,,,,,2.2,sukanya
3,"While loading crude at Terminal C during the day shift, a contractor was operating a forklift that had a faulty load‑sway sensor. As he backed out of the dock, the sensor failed to trigger the warning and the forklift tipped, throwing the pallet of chemicals onto the floor. The contractor escaped unharmed, but the spill required a quick clean‑up to prevent any fire hazard.",,,,,,2.2,sukanya
39,"At Rig 4 on the night shift, a company employee noticed a faint burning smell coming from the tank area. While inspecting the gas lines, the worker saw a small flame flare up near a damaged pipe, but the automatic fire suppression system kicked in before anything spread, so no fire actually broke out. The incident was a near miss, but it highlighted that the protective barrier around the pipe had been missing a seal and needed immediate repair.",,,,,,2.2,sukanya
52,"During the day shift at Rig 4, a contractor was operating the drilling winch when the winch gearbox overheated and the safety latch on the load release lever slipped. The load swung across the rig floor, narrowly missing a nearby worker and coming to rest against the safety fence, which had been removed for maintenance. The contractor had to stop the machine, cool the gearbox, and re‑install the latch before resuming work.",,,,,,2.2,sukanya
16,"During the night shift at Terminal C, a contractor was working on the maintenance of the LPG line. While attempting to isolate the line, the valve failed to lock into the off position, leaving the line still energized. The contractor had to quickly pull away and warn the crew, but a few meters downstream the pressure relief valve tripped, sending a burst of gas into the work area. Fortunately, no one was injured, but the incident shows the isolation procedure was not properly followed and the safety barrier was ineffective.",,,,,,2.2,sukanya
134,"Night shift at Drilling Unit F, a contractor was walking through the rig floor without his hard hat and safety vest. He nearly ran into the support beam of the drill rig because the safety barrier was missing, and his unprotected head would have hit the overhead pipe if he had not stopped in time. The incident was reported after the contractor realized he had violated the PPE requirements and the crew had to stop work until a replacement hat and vest were found.",,,,,,2.2,sukanya
