report_id,hazard_assessment,lsr_rule,control_status,severity,is_sif_precursor,confidence,flagged_phrases,reasoning
1,yes,work_at_height,absent,5,TRUE,0.9,"[""climbed scaffolding without harness""]",no fall protection during elevated work
2,yes,energy_isolation,absent,5,TRUE,0.85,"[""repaired valve without shutting down line""]",energy not isolated before maintenance
3,no,none,present,2,FALSE,0.7,"[""gloves not worn""]",barrier held low severity
4,yes,line_of_fire,failed,4,TRUE,0.8,"[""forklift reversed near walking path""]",near-miss with pedestrian in blind spot
5,yes,confined_space,absent,5,TRUE,0.9,"[""entered tank without gas testing""]",no atmosphere check before entry
6,no,none,present,1,FALSE,0.6,"[""minor spill on walkway""]",low risk quickly resolved
7,yes,none,absent,4,TRUE,0.75,"[""guard removed from conveyor""]",exposed moving parts
8,yes,hot_work,failed,5,TRUE,0.9,"[""welding near unpurged gas line""]",ignition risk from hot work
9,insufficient_information,work_at_height,present,2,FALSE,0.5,"[""anchor point loose""]",barrier partially compromised flagged for review
10,no,none,present,1,FALSE,0.6,"[""wet floor near break room""]",minor housekeeping issue
11,no,energy_isolation,present,2,FALSE,0.7,"[""lockout tag applied correctly""]",barrier held as intended
12,yes,line_of_fire,absent,5,TRUE,0.9,"[""truck backed up without spotter""]",high-risk blind reversing near personnel
13,no,confined_space,present,2,FALSE,0.75,"[""gas tested before entry""]",barrier held procedure followed
14,no,none,present,1,FALSE,0.6,"[""guard slightly misaligned""]",minor defect no real risk
15,no,hot_work,present,2,FALSE,0.7,"[""hot work permit issued""]",barrier held controlled work
