report_id,text_a,hazard_assessment_a,hazard_assessment_b,lsr_rule_a,lsr_rule_b,control_status_a,control_status_b,severity_a,severity_b,is_sif_precursor_a,is_sif_precursor_b
90,"During the day shift at Refinery B, a company employee was working on the roof of the distillation column when the handrail that was supposed to support them gave way. The worker lost balance and fell about three feet onto the concrete floor, scraping his elbow and bruising his wrist. Luckily, the fall didn't hit any heavy equipment, and he was able to get up and report the broken rail, but the incident shows the handrail was either poorly maintained or not replaced after last inspection.",yes,yes,work_at_height,work_at_height,failed,failed,2,3,True,False
15,"On the day shift at Rig 4, a contractor was seen working on the rig floor without his hard hat and safety glasses. He was walking near the drill head when a loose piece of metal slipped from the rig and almost hit him. Luckily the contractor kept his feet in the safety shoes, but the lack of proper PPE could have caused serious injury.",yes,yes,line_of_fire,line_of_fire,absent,absent,1,3,True,False
42,"During the day shift on Rig 4, a company employee slipped while climbing a ladder to reach the top of the casing. He lost his footing on a wet rung, fell about 5 feet onto the concrete floor, and bruised his wrist. The fall was halted by the guardrail that was still in place, but the incident shows the ladder's footing was compromised by oil residue.",yes,yes,work_at_height,work_at_height,present,present,2,4,True,False
35,"At Terminal C on the night shift a contractor was operating a hydraulic jack to lift a cracked valve. While the jack was on the load, the safety lockout bar had been removed to speed up the job and the jack slipped, throwing the valve against the concrete wall. The contractor was only grazed, but the incident shows the equipment hazard when a safety barrier was missing.",yes,yes,lifting,lifting,absent,absent,2,3,True,False
71,"In the Maintenance Shop H during the day shift, a contractor was entering a ventilation duct that had been marked as a confined space. He forgot to put on a full-face respirator and when he reached the bottom, the duct’s access hatch blew open from a faulty latch, spilling a small amount of condensate onto the floor. The contractor slipped on the wet spot and fell, but he landed on a padded mat and only got a bruised elbow. The incident shows the hatch latch failed and the confined space entry was not properly guarded.",yes,yes,confined_space,confined_space,failed,failed,2,3,True,False
36,"During the day shift on Rig 4, a company employee was attempting to start the hydraulic pump after a routine maintenance check. The isolation lockout was not engaged, and when the operator turned the key, the system powered up unexpectedly. The employee was immediately pulled back to safety, but the sudden pressure surge caused a burst in the pipe, spraying hydraulic fluid across the work area. The incident highlighted a clear failure of the energy isolation procedure.",yes,yes,energy_isolation,energy_isolation,absent,absent,1,3,True,False
89,"At Terminal C during the day shift, a company employee entered a maintenance hatch that had no proper lockout/tagout in place. He found the hatch unlocked, slipped inside, and immediately felt a sudden drop in oxygen levels. He had to exit quickly by climbing back out, but the hatch’s guard rail had snapped, so he almost slipped and cut his arm on the metal edge. No one was injured, but the incident shows how critical it is to secure all confined spaces before entry.",yes,yes,confined_space,confined_space,absent,failed,1,3,True,False
1,"At Terminal C, during the night shift, a company employee was walking through the loading bay without wearing the required safety harness. The worker was near a high‑tension cable that had been temporarily lowered, so he nearly touched it and lost his balance. Fortunately, the fall was arrested by the guard rail, but it was a clear reminder that not wearing PPE can lead to serious injury.",yes,yes,work_at_height,line_of_fire,present,present,1,4,True,False
108,"During the night shift on Rig 4, a company employee was seen walking through the rig floor without a safety vest or hard hat. He was just about to step onto a wet area near the spill containment barrier when the barrier, which had been removed for maintenance, was not in place. He slipped a few inches, nearly falling onto the pipework, but the fall was stopped by a nearby safety rope. The incident was logged as a near‑miss because the employee was able to regain footing before any damage occurred.",yes,yes,line_of_fire,line_of_fire,absent,absent,1,2,True,False
107,"At Terminal C during the day shift, a company employee was walking through the storage aisle and failed to wear his hard hat. He accidentally brushed against a stack of cracked piping, and the loose pipe slid onto the floor, causing a small spill. The employee slipped on the liquid but managed to get back up without injury. However, the missing helmet and the exposed pipe pose a serious risk to others.",yes,yes,line_of_fire,line_of_fire,absent,absent,1,2,True,False
