report_id,source,text,hazard_assessment,lsr_rule,control_status,severity,is_sif_precursor,notes,rubric_version,annotator
78,synthetic,"During the day shift at Refinery B, a company employee was working on the roof of the storage tank when a rail that had been removed for maintenance fell and knocked the worker off balance, causing them to tumble onto the concrete below. The employee landed with a minor bruise and was able to get up after a quick first-aid check. The incident highlighted that the safety rail was missing at that section, and the maintenance team was notified to replace it immediately.",yes,work_at_height,absent,5,TRUE,,2.1,akanksha
81,synthetic,"Night shift at Storage Site E, a contractor was walking across the unloading area and slipped on a wet patch left from a recent leak. The contractor caught himself and avoided a fall, but the spill was still present and could have caused a serious fall if the ground had been more uneven. The area was marked with caution signs, but the spill marker was missing, so the hazard wasn’t immediately obvious.",yes,line_of_fire,absent,2,FALSE,slip avoided; spill marker missing but no fall occurred,2.1,akanksha
90,synthetic,"During the day shift at Refinery B, a company employee was working on the roof of the distillation column when the handrail that was supposed to support them gave way. The worker lost balance and fell about three feet onto the concrete floor, scraping his elbow and bruising his wrist. Luckily, the fall didn't hit any heavy equipment, and he was able to get up and report the broken rail, but the incident shows the handrail was either poorly maintained or not replaced after last inspection.",yes,work_at_height,failed,3,FALSE,only ~3ft fall onto concrete; capped severity vs report 78's full roof height,2.1,akanksha
12,synthetic,"At Rig 4 on the night shift, a company employee noticed a faint orange glow near the valve chamber, indicating a potential gas leak. The worker quickly sealed the valve and called the fire alarm, but a damaged safety barrier failed to contain the odor. Thankfully, no ignition occurred, and the leak was contained before any fire started.",yes,energy_isolation,failed,4,TRUE,gas leak near ignition source; barrier failed to contain,2.1,akanksha
59,synthetic,"During the day shift at Terminal C a contractor was working on the valve pit when he failed to properly lock out the main isolation valve. He started the pump without checking the lockout tag, and the valve slipped open, sending a burst of high‑pressure gas toward the control room. The contractor and his team immediately shut down the pump, but the gas leak caused a brief flashover in the corridor, forcing an evacuation of the area.",yes,energy_isolation,absent,5,TRUE,uncontrolled high-pressure gas release plus flashover/evacuation,2.1,akanksha
15,synthetic,"On the day shift at Rig 4, a contractor was seen working on the rig floor without his hard hat and safety glasses. He was walking near the drill head when a loose piece of metal slipped from the rig and almost hit him. Luckily the contractor kept his feet in the safety shoes, but the lack of proper PPE could have caused serious injury.",yes,line_of_fire,absent,3,FALSE,"PPE (hard hat) is the barrier for falling-object hazard; near miss, moderate potential",2.1,akanksha
47,synthetic,"During the day shift at Refinery B, a company employee was attempting to enter a maintenance hatch to replace a faulty sensor. He hadn’t secured the required air‑supplement system before entering, and a burst in the ventilation line caused a sudden drop in oxygen levels. The worker felt light‑headed, pulled back to the hatch, and the supervisor had to pull him out. The incident was logged as a near‑miss because the employee was not injured but the confined space entry protocol was not followed.",yes,confined_space,absent,4,TRUE,o2 drop in confined space without air-supplement system secured,2.1,akanksha
32,synthetic,"In the Pipeline Yard D on the day shift, a contractor was walking near the inspection gate when he forgot to wear his hard hat and steel-toe boots. He was only a few feet from a partially opened safety barrier that was still down. The missing PPE and lack of a visible barrier made it look like a near-miss, but the contractor could have easily slipped and fallen onto the unguarded pipe.",yes,line_of_fire,absent,3,FALSE,"unguarded pipe/PPE absent but only a slip risk described, not high fall",2.1,akanksha
42,synthetic,"During the day shift on Rig 4, a company employee slipped while climbing a ladder to reach the top of the casing. He lost his footing on a wet rung, fell about 5 feet onto the concrete floor, and bruised his wrist. The fall was halted by the guardrail that was still in place, but the incident shows the ladder's footing was compromised by oil residue.",yes,work_at_height,present,4,FALSE,guardrail caught the fall; control present so not a precursor,2.1,akanksha
82,synthetic,"During the day shift at Storage Site E, a contractor was checking the pressure relief valve when a sudden hissing sound indicated a possible gas leak. He stopped the work, sealed the valve with a clamp, and called the on‑site safety team. The leak was contained before any fire could start, but the contractor noted that the area’s fire extinguisher was missing and that the gas detector alarm had been disabled for maintenance.",yes,line_of_fire,absent,4,TRUE,gas leak plus disabled detector and missing extinguisher,2.1,akanksha
17,synthetic,"Night shift at Pipeline Yard D: a contractor was using a hydraulic crane to lift a pipe segment when the boom tipped over sideways. The crane's safety latch was not engaged, so the load swung and struck the support rail, causing a small dent and a loud clang. Luckily nobody was hurt, but the incident shows the latch was missing and the crane’s stability margin was exceeded.",yes,lifting,absent,4,TRUE,"crane latch missing, stability margin exceeded, load struck rail",2.1,akanksha
103,synthetic,"During the day shift at Refinery B, a company employee was working on the control panel for the main reactor isolation valves. The lockout tag on the energy isolation system was missing, so the valve was accidentally opened while the reactor was still under pressure. The employee only noticed the mistake when a pressure gauge began spiking, but the sudden pressure surge caused a minor leak that was quickly contained. The incident was logged as a near‑miss, but the lack of proper isolation equipment made the situation dangerous.",yes,energy_isolation,absent,4,TRUE,valve opened under pressure while reactor pressurized; missing lockout tag,2.1,akanksha
116,synthetic,"During the night shift at Rig 4, a company employee was walking along the service road when a delivery truck entered the area without stopping. The driver didn’t see the worker, and the vehicle clipped the employee’s side of a portable storage box, but the employee was only shaken and didn’t lose balance. The incident happened because the safety barrier that normally separates the road from the pedestrian path was missing that morning.",yes,driving,absent,4,TRUE,vehicle-pedestrian contact; barrier separating road missing,2.1,akanksha
