report_id,text,site,activity,shift,report_date,is_contractor,source
1,"At Terminal C, during the night shift, a company employee was walking through the loading bay without wearing the required safety harness. The worker was near a high‑tension cable that had been temporarily lowered, so he nearly touched it and lost his balance. Fortunately, the fall was arrested by the guard rail, but it was a clear reminder that not wearing PPE can lead to serious injury.",Terminal C,Drilling Operations,Night,2026-03-10,False,synthetic
2,"During the day shift at Refinery B, a company employee entered a vent hood that had not been properly sealed. The air test showed a sudden drop in oxygen levels, but the worker noticed the alarm and backed out before any breathing difficulties occurred. The incident was flagged because the confinement barrier had been omitted, but fortunately no injury happened.",Refinery B,Maintenance,Day,2026-08-16,False,synthetic
3,"While loading crude at Terminal C during the day shift, a contractor was operating a forklift that had a faulty load‑sway sensor. As he backed out of the dock, the sensor failed to trigger the warning and the forklift tipped, throwing the pallet of chemicals onto the floor. The contractor escaped unharmed, but the spill required a quick clean‑up to prevent any fire hazard.",Terminal C,Maintenance,Day,2026-04-23,True,synthetic
4,"At Pipeline Yard D during the night shift, a contractor was operating a jackhammer to remove a rusted pipe section. While digging, the contractor hit the steel pipe frame and the jackhammer’s safety guard had snapped off, so the operator’s arm got caught and dragged close to the moving conveyor belt. Luckily, the belt was already stopped and the contractor only bruised his forearm, but the incident shows the guard failure and the risk of machinery contact.",Pipeline Yard D,Lifting,Night,2026-07-09,True,synthetic
5,"On the night shift at Rig 4, a company employee slipped on a wet patch near the spillway because the usual warning tape was missing. The worker almost fell into the drainage trench but caught themselves on a nearby pipe. The slip was quickly cleaned up and tape re‑installed before the shift ended.",Rig 4,Logistics,Night,2026-04-19,False,synthetic
6,"Day shift at Rig 4, a company employee was operating the drilling winch when the safety latch on the load‑hold arm failed to lock. The arm slipped slightly, causing a small hydraulic hose to come off and spill oil onto the floor. The employee immediately stopped the winch, flagged the area, and called for a repair crew to replace the latch and clean up the spill.",Rig 4,Lifting,Day,2026-03-22,False,synthetic
7,"While operating Rig 4 during the day shift, a company employee was cutting a pipe when a hydraulic cylinder unexpectedly released pressure. The sudden jolt threw the employee backward, causing him to hit his shoulder against the metal frame. Fortunately, he only suffered a minor bruise and the incident was reported immediately.",Rig 4,Drilling Operations,Day,2026-08-13,False,synthetic
8,"At Loading Bay G during the day shift, a company employee was unloading a tank when a gas vent opened slightly. The employee smelled a strong odor and saw a faint puff of flame, but the fire extinguisher was still within reach, so they quickly sprayed it and the flame died out. The gas detector alarm went off and the area was evacuated; no one was hurt, but the fire barrier around the vent was found to be missing and will be replaced.",Loading Bay G,Hot Work,Day,2026-04-21,False,synthetic
9,"At Pipeline Yard D on the day shift, an employee was walking the perimeter when a delivery truck ran a stop sign and nearly hit him. The driver lost control after braking late, but the employee was lucky to step aside in time. The incident shows the truck’s speed was higher than the yard’s posted limits and the employee’s alertness saved him from a collision.",Pipeline Yard D,Vehicle Operations,Day,2026-03-09,False,synthetic
10,"On the day shift at Pipeline Yard D, a company employee was stepping down from a 4‑meter high loading dock when the guard rail snapped, sending him to the concrete floor. He slipped and twisted his ankle, but no serious injury occurred; the incident was flagged as a near‑miss and the broken rail was replaced immediately.",Pipeline Yard D,Housekeeping,Day,2026-08-19,False,synthetic
11,"During the day shift at Storage Site E, a contractor was seen walking across the loading bay without a safety vest or hard hat. He was only a few feet away from the conveyor belt when a loose cable slipped, almost pulling him down. The incident was stopped by a quick stop of the belt, but the lack of PPE still put him at serious risk. The supervisor had to remind everyone that PPE is mandatory before the next shift begins.",Storage Site E,Hot Work,Day,2026-07-22,True,synthetic
