report_id,hazard_assessment_a,hazard_assessment_b,control_status_a,control_status_b,severity_a,severity_b,is_sif_precursor_a,is_sif_precursor_b
90,yes,yes,failed,failed,2,3,True,False
15,yes,yes,absent,absent,1,3,True,False
42,yes,yes,present,present,2,4,True,False
35,yes,yes,absent,absent,2,3,True,False
71,yes,yes,failed,failed,2,3,True,False
36,yes,yes,absent,absent,1,3,True,False
89,yes,yes,absent,failed,1,3,True,False
1,yes,yes,present,present,1,4,True,False
108,yes,yes,absent,absent,1,2,True,False
107,yes,yes,absent,absent,1,2,True,False
150,yes,yes,failed,absent,1,3,True,False
10,yes,yes,failed,failed,2,3,True,False
18,yes,yes,present,present,1,4,True,False
125,yes,yes,absent,absent,2,3,True,False
7,yes,yes,failed,failed,2,3,True,False
117,yes,yes,failed,failed,1,3,True,False
122,yes,yes,absent,absent,1,3,True,False
131,yes,yes,present,present,1,3,True,False
138,yes,yes,absent,absent,1,2,True,False
8,yes,yes,absent,absent,1,3,True,False
58,yes,yes,absent,present,1,3,True,False
72,yes,yes,failed,absent,1,3,True,False
76,yes,yes,absent,absent,2,2,True,False
6,yes,yes,failed,failed,1,2,True,False
147,yes,yes,unclear,absent,2,2,True,False
140,yes,yes,absent,absent,1,3,True,False
33,yes,yes,present,present,1,3,True,False
121,yes,yes,absent,present,1,3,True,False
144,yes,yes,failed,failed,1,3,True,False
60,yes,yes,absent,absent,1,3,True,False
38,yes,yes,failed,failed,2,3,True,False
139,yes,yes,absent,absent,1,3,True,False
27,no,yes,,present,1,4,True,False
67,yes,yes,failed,failed,2,3,True,False
20,yes,yes,absent,absent,1,3,True,False
23,yes,yes,failed,absent,2,3,True,False
179,yes,yes,absent,absent,3,3,True,False
34,yes,yes,absent,failed,1,2,True,False
177,no,yes,,absent,4,4,False,True
133,yes,yes,failed,failed,5,3,True,False
124,yes,yes,absent,absent,5,4,False,True
152,yes,yes,unclear,unclear,3,3,True,False
170,yes,yes,unclear,unclear,4,3,True,False
154,yes,yes,unclear,unclear,5,5,True,False
24,no,yes,,present,1,4,True,False
168,yes,yes,unclear,unclear,5,5,True,False
158,yes,yes,unclear,unclear,5,4,True,False
11,yes,no,absent,unclear,1,2,True,False
167,yes,yes,unclear,unclear,4,5,True,False
153,yes,yes,unclear,unclear,4,3,True,False
178,no,no,blank,blank,5,5,True,False
160,yes,yes,unclear,unclear,5,4,True,False
165,yes,yes,unclear,unclear,4,3,True,False
88,yes,yes,unclear,unclear,1,5,True,False
161,yes,yes,absent,unclear,5,4,True,False
68,yes,yes,unclear,absent,1,4,False,True
173,yes,yes,unclear,unclear,3,5,True,False
31,yes,yes,absent,unclear,2,4,True,False
