report_id,hazard_assessment,lsr_rule,control_status,severity,is_sif_precursor,rubric_version,annotator
78,yes,work_at_height,absent,5,True,2.1,agreed
81,yes,line_of_fire,absent,2,False,2.1,agreed
90,yes,work_at_height,failed,3,False,2.1,agreed
12,yes,energy_isolation,failed,4,True,2.1,agreed
59,yes,energy_isolation,absent,5,True,2.1,agreed
15,yes,line_of_fire,absent,3,False,2.1,agreed
47,yes,confined_space,absent,4,True,2.1,agreed
32,yes,line_of_fire,absent,3,False,2.1,agreed
42,yes,work_at_height,present,4,False,2.1,agreed
82,yes,line_of_fire,absent,4,True,2.1,agreed
17,yes,lifting,absent,4,True,2.1,agreed
103,yes,energy_isolation,absent,4,True,2.1,agreed
116,yes,driving,absent,4,True,2.1,agreed
35,yes,lifting,absent,4,True,2.1,agreed
71,yes,confined_space,failed,3,False,2.1,agreed
55,yes,confined_space,absent,4,True,2.1,agreed
91,yes,energy_isolation,failed,4,True,2.1,agreed
83,yes,lifting,absent,3,False,2.1,agreed
36,yes,energy_isolation,absent,4,True,2.1,agreed
89,yes,confined_space,absent,5,True,2.1,agreed
1,yes,work_at_height,present,4,False,2.1,agreed
174,yes,line_of_fire,absent,5,True,2.1,agreed
46,yes,line_of_fire,absent,2,False,2.1,agreed
108,yes,line_of_fire,absent,2,False,2.1,agreed
107,yes,line_of_fire,absent,2,False,2.1,agreed
63,yes,line_of_fire,absent,2,False,2.1,agreed
180,yes,lifting,failed,4,True,2.1,agreed
150,yes,work_at_height,failed,3,False,2.1,agreed
171,yes,line_of_fire,absent,4,True,2.1,agreed
85,yes,lifting,failed,2,False,2.1,agreed
164,yes,driving,absent,4,True,2.1,agreed
79,yes,confined_space,absent,4,True,2.1,agreed
86,yes,confined_space,absent,4,True,2.1,agreed
172,yes,line_of_fire,absent,4,True,2.1,agreed
18,yes,line_of_fire,present,5,False,2.1,agreed
125,yes,work_at_height,absent,3,False,2.1,agreed
7,yes,energy_isolation,failed,3,False,2.1,agreed
98,yes,energy_isolation,present,4,False,2.1,agreed
134,yes,line_of_fire,absent,3,False,2.1,agreed
175,yes,line_of_fire,unclear,5,False,2.1,agreed
9,yes,driving,absent,4,True,2.1,agreed
117,yes,energy_isolation,failed,4,True,2.1,agreed
73,yes,line_of_fire,absent,2,False,2.1,agreed
122,yes,confined_space,absent,3,False,2.1,agreed
131,yes,energy_isolation,present,3,False,2.1,agreed
37,yes,driving,absent,4,True,2.1,agreed
166,yes,work_at_height,failed,4,True,2.1,agreed
118,yes,hot_work,absent,4,True,2.1,agreed
138,yes,lifting,absent,2,False,2.1,agreed
8,yes,hot_work,absent,3,False,2.1,agreed
163,yes,lifting,absent,3,False,2.1,agreed
53,yes,lifting,absent,2,False,2.1,agreed
43,yes,line_of_fire,absent,2,False,2.1,agreed
58,yes,work_at_height,present,3,False,2.1,agreed
72,yes,driving,failed,4,True,2.1,agreed
76,yes,work_at_height,absent,2,False,2.1,agreed
6,yes,lifting,failed,2,False,2.1,agreed
169,no,none,,1,False,2.1,agreed
157,no,none,,1,False,2.1,agreed
57,yes,hot_work,absent,4,True,2.1,agreed
28,yes,confined_space,absent,4,True,2.1,agreed
147,yes,line_of_fire,failed,3,False,2.1,agreed
140,yes,confined_space,absent,3,False,2.1,agreed
33,yes,work_at_height,present,3,False,2.1,agreed
151,yes,line_of_fire,absent,4,True,2.1,agreed
121,yes,lifting,absent,4,True,2.1,agreed
