report_id,text,source,report_text
151,An employee was cleaning debris from a machine when their left hand was caught in the in-going nip point. The employee sustained fractures and a crush injury to fingers of the left hand.,osha,An employee was cleaning debris from a machine when their left hand was caught in the in-going nip point. The employee sustained fractures and a crush injury to fingers of the left hand.
152,"A maintenance employee was using a sledge hammer to remove an end cap on an axle to a ride. The sledge hammer struck the employee's right pinky finger, crushing it.",osha,"A maintenance employee was using a sledge hammer to remove an end cap on an axle to a ride. The sledge hammer struck the employee's right pinky finger, crushing it."
153,"An employee was moving a scaffold when he slipped on some stones and fell off a retaining wall onto his side, breaking ribs.",osha,"An employee was moving a scaffold when he slipped on some stones and fell off a retaining wall onto his side, breaking ribs."
154,An employee was laying glue on the corner of a three-story commercial flat roof to apply new thermoplastic polyolefin roofing material. He lost his balance and fell at least 35 feet to the concrete ground below. The employee sustained fractures.,osha,An employee was laying glue on the corner of a three-story commercial flat roof to apply new thermoplastic polyolefin roofing material. He lost his balance and fell at least 35 feet to the concrete ground below. The employee sustained fractures.
155,"An employee was removing a basket from behind a forklift. The forklift ran over his left foot, lacerating the bottom of the foot. The employee was hospitalized.",osha,"An employee was removing a basket from behind a forklift. The forklift ran over his left foot, lacerating the bottom of the foot. The employee was hospitalized."
156,"An employee exited a truck, which then rolled over him. The employee sustained injuries to the skull and legs.",osha,"An employee exited a truck, which then rolled over him. The employee sustained injuries to the skull and legs."
157,"An employee stood up at their desk to plug a phone into their computer. When the employee went to sit back down, they missed the chair and fell, hitting their head. The employee required hospitalization for a post-concussive head injury.",osha,"An employee stood up at their desk to plug a phone into their computer. When the employee went to sit back down, they missed the chair and fell, hitting their head. The employee required hospitalization for a post-concussive head injury."
158,"On or about 6/8/2016, at approximately 1:15, an employee was placing a stencil inside a mold when a piece (known as a cradle) fell down from inside the top of the mold and struck/partially amputated the employee's left middle and ring fingers.",osha,"On or about 6/8/2016, at approximately 1:15, an employee was placing a stencil inside a mold when a piece (known as a cradle) fell down from inside the top of the mold and struck/partially amputated the employee's left middle and ring fingers."
159,"An employee was working from a bucket truck to restore a power line. The boom was lowered and struck a tree, causing the employee to be ejected from the bucket. The employee fell approximately 25 feet to the ground below, resulting in fractures to both femurs and one fractured bone in their back.",osha,"An employee was working from a bucket truck to restore a power line. The boom was lowered and struck a tree, causing the employee to be ejected from the bucket. The employee fell approximately 25 feet to the ground below, resulting in fractures to both femurs and one fractured bone in their back."
160,"During disassembly of a spent perforating-gun tool string, an employee attempted to carry the setting tool (designed to set a plug in the well) section from the external stands into the trailer for breakdown. When he lifted the setting tool in the vertical position, he placed his right hand over and into the open end of the sleeve. At that point, the internal mandrel shifted further up to the open end. His right middle fingertip was pinched by the mandrel and the set-screw opening at the end of the sleeve, amputating the distal phalanx.",osha,"During disassembly of a spent perforating-gun tool string, an employee attempted to carry the setting tool (designed to set a plug in the well) section from the external stands into the trailer for breakdown. When he lifted the setting tool in the vertical position, he placed his right hand over and into the open end of the sleeve. At that point, the internal mandrel shifted further up to the open end. His right middle fingertip was pinched by the mandrel and the set-screw opening at the end of the sleeve, amputating the distal phalanx."
161,"An employee and a co-worker were working to pack up pallets on pallet banding equipment. The co-worker was holding the strap as the employee was utilizing a clamp. The employee's right thumb was caught in a pinch point on the clamp, resulting in amputation.",osha,"An employee and a co-worker were working to pack up pallets on pallet banding equipment. The co-worker was holding the strap as the employee was utilizing a clamp. The employee's right thumb was caught in a pinch point on the clamp, resulting in amputation."
